,num_acc_min,num_acc_fr_min,prom_sobrepaso_acc,prom_sobrepaso_fren,prom_abs_acc,std_acc,num_jerk_acc_min,num_jerk_freno_min,prom_sobrepaso_jerk_acc,prom_sobrepaso_jerk_freno,prom_abs_jerk,std_jerk,std_pot,prom_abs_pot,consumption,kms,consumption_per_km,num_current_min,num_current_fr_min,prom_sobrepaso_current,prom_sobrepaso_current_fr,prom_abs_current,std_current,std_current_std_jerk,highway,slope,max_current,max_jerk,max_acc,max_pot,max_speed,mean_speed,std_speed,iqr_pot,mean_soc
193,0.5504587155963303,0.5504587155963303,1.22,1.2,0.483125,0.6427963202873831,0.0,0.0,1.0,1.0,0.4286666666666666,0.6195288532425266,23.688757765997224,16.7029375,0.09999999999999432,1.3783338572600001,0.07255136299037523,0.5504587155963303,0.0,1.2084347826086956,1.0,30.839999999999996,45.982927249551,28.487750187648857,primary,-0.36895956250000006,138.97,1.22,1.22,56.206,85.41,41.855000000000004,33.888459589266276,18.148,91.375
194,0.0,0.0,1.0,1.0,0.24727272727272726,0.3425306887379184,0.0,0.0,1.0,1.0,0.34900000000000003,0.514456023387811,11.331593440501933,8.939272727272726,0.0,1.4031524999999996,0.0,0.0,0.0,1.0,1.0,25.34090909090909,28.591014423855686,14.708819585120343,primary,-0.36152900000000004,38.17,1.08,0.55,20.246,72.08,56.844545454545454,13.728366518735113,12.233,91.0
195,0.6818181818181818,1.3636363636363635,1.38,1.2799999999999998,0.3942857142857142,0.6294944521646894,0.0,0.0,1.0,1.0,0.6753846153846155,0.8747381687712761,13.247191668502456,9.533857142857144,0.10000000000000142,1.320705,0.07571713592361763,0.0,0.0,1.0,1.0,21.342142857142854,27.67768840066095,24.21073046741615,primary,-0.6275038571428572,67.63,1.49,1.38,21.347,65.11,46.050000000000004,20.49599698252545,14.2865,91.0
196,0.0,0.0,1.0,1.0,0.12230769230769231,0.16437077440740475,0.0,0.0,1.0,1.0,0.18833333333333335,0.23879326251429756,12.192765228493483,9.044230769230769,0.10000000000000142,1.3972738999999998,0.07156792952333929,0.0,0.0,1.0,1.0,19.13769230769231,27.278680450135262,6.513965101772786,primary,-0.6466200769230769,67.95,0.53,0.39,31.646,76.24,67.38615384615386,6.599111731212439,11.336,90.46153846153847
197,0.0,0.8,1.0,1.0,0.457,0.5342892475055061,0.0,0.0,1.0,1.0,0.73,0.8288337783287825,28.605355686654203,34.9324,0.9000000000000057,1.3037048,0.6903403285774553,2.4,0.0,1.2196521739130437,1.0,87.32100000000001,58.633463730194215,48.5973952800005,primary,7.586775,177.43,1.13,0.69,71.568,66.71,51.438,12.345511825040797,43.258750000000006,85.1
198,0.0,0.0,1.0,1.0,0.09777777777777777,0.13042191741885212,0.0,0.0,1.0,1.0,0.15875,0.2261602031746523,7.504000544565514,18.54222222222222,0.6999999999999993,1.5578587000000002,0.4493347182257282,0.0,0.0,1.0,1.0,46.492222222222225,10.652945109507174,2.409272230374561,primary,4.858668888888889,66.3,0.3,0.27,26.82800000000001,49.07,40.42888888888889,6.9181942088316015,7.5440000000000005,79.33333333333333
199,0.0,0.0,1.0,1.0,0.08214285714285716,0.08737965484958529,0.0,0.0,1.0,1.0,0.09846153846153848,0.1472067338310551,6.473346931448829,24.353071428571436,0.3999999999999986,1.3326063,0.3001636717461103,0.0,0.0,1.0,1.0,37.68428571428571,10.273262602007014,1.512293433430179,primary,2.8250928571428573,58.0,0.33999999999999997,0.14,38.273,55.5,48.894999999999996,3.402907693316228,7.1615,77.64285714285714
200,0.0,0.0,1.0,1.0,0.12066666666666667,0.16325848625211903,0.0,0.0,1.0,1.0,0.21285714285714286,0.2711728118332496,11.602583067575944,23.585599999999996,0.6999999999999993,1.3853103,0.5053019529270801,0.0,0.0,1.0,1.0,49.508666666666656,12.02179180580924,3.259983087255211,primary,4.1883420000000005,71.47,0.4,0.28,60.712,55.75,45.448666666666675,5.018731864107656,11.483500000000003,76.33333333333333
201,0.0,0.0,1.0,1.0,0.24875,0.32401533528523,0.0,0.0,1.0,1.0,0.4986666666666667,0.5579223362918295,18.004225008379112,14.3731875,0.20000000000000284,1.3788975000000003,0.14504341330664738,0.0,0.0,1.0,1.0,31.836875000000003,35.789319368484435,19.967660676359262,primary,0.3406331874999998,82.25,0.98,0.76,40.976000000000006,66.61,46.490625,8.939093517615008,18.323,75.0
202,0.0,1.1320754716981132,1.0,1.59,0.5409999999999999,0.672759243712043,0.0,1.1320754716981132,1.0,1.0533333333333335,0.8644444444444445,0.9478643961982363,31.55097158583234,23.1623,0.1999999999999993,1.3020173,0.1536077900040186,0.0,0.0,1.0,1.0,66.018,72.84720148365344,69.04926864903443,primary,1.3360758000000004,172.3,1.1800000000000002,0.97,70.597,99.8,66.443,17.375800573083115,26.15025,74.0
