zone,name,latitude,longitude
333.0,SAN JOSE_2970,6.164446523,-75.61343459999998
334.0,SAN JUAQUIN_1110,6.246403135,-75.58556624
335.0,SAN LUCAS_0751,6.1841873110000005,-75.56703657
336.0,SAN LUCAS_0752,6.179654874,-75.56372052
337.0,SAN MARCOS_2780,6.177237302999999,-75.58566831
338.0,SAN MARTÍN DE PORRES_1750,6.294554716,-75.58043469
339.0,SAN MIGUEL_0250,6.255165523,-75.55596681
340.0,SAN PABLO_2290,6.287563121,-75.54591612
341.0,SAN PEDRO_2110,6.266957682,-75.56071952
342.0,SANTA CRÚZ_2012,6.293238022000001,-75.55890529
343.0,SANTA FÉ_0840,6.2223861010000014,-75.58321295
344.0,SANTA FÉ_3670,6.221045007000001,-75.57845971
345.0,SANTA INÉS_2180,6.272956981,-75.54724428
346.0,SANTA LUCIA_1312,6.257719946,-75.60716568
347.0,SANTA MARGARITA_1500,6.275882211,-75.61539839
348.0,SANTA MARIA # 2_3030,6.183891077999999,-75.59735987
349.0,SANTA MARÍA DE LOS ÁNGELES_0770,6.1904362079999995,-75.57977261
350.0,SANTA MÓNICA - DANUBIO_1170,6.2490090910000005,-75.61240215
351.0,SANTA ROSA DE LIMA_1470,6.264997333999999,-75.60639461
352.0,SANTA TERESITA_1050,6.243561933,-75.61180421
353.0,SANTANDER_1720,6.307081208,-75.57470076
358.0,SANTO DOMINGO SAVIO # 1_3500,6.2930126,-75.54254945
359.0,SANTO DOMINGO SAVIO # 1_3510,6.2964711620000005,-75.54209318
361.0,SATEXCO_3060,6.172636409,-75.61183041
363.0,SEVILLA_2100,6.266517867,-75.56474561
364.0,SIERRA MORENA_2900,6.15307058,-75.60871278
365.0,SIMÓN BOLIVAR_1150,6.245933172999999,-75.60516940000002
366.0,SUCRE_0330,6.245222794,-75.55175263
367.0,SURAMERICANA_1380,6.2548118520000004,-75.58178351
368.0,SURAMERICANA_1390,6.254384027,-75.58533684
369.0,TEJELO_1881,6.305869306,-75.5687583
370.0,TENCHE_3680,6.230152754,-75.57899943
371.0,TERMINAL DE TRANSPORTE_1810,6.278485259,-75.57099079
372.0,TORRES DE MARÍA_2870,6.1570814270000005,-75.60611741
373.0,TOSCANA_1920,6.30741713,-75.55854244
374.0,TRICENTENARIO BELALCAZAR_1860,6.29262969,-75.56579002
375.0,TRINIDAD_3600,6.227825354,-75.58584816
378.0,TRINIDAD_3630,6.227300112999999,-75.57920238
379.0,TRINIDAD_3640,6.225048383,-75.58591983
381.0,TRINIDAD_3660,6.23116574,-75.58484971
383.0,UNIDAD DEPORTIVA SABANETA_2930,6.1335803910000015,-75.61049713
384.0,UNIVERSIDAD DE ANTIOQUIA_2090,6.267514796,-75.56924520000003
385.0,UNIVERSIDAD NACIONAL_1590,6.262539032,-75.57618524
386.0,UPB_1090,6.2422655160000025,-75.58950473
387.0,VERSALLES # 1 - VERSALLES # 2_2150,6.264806242000001,-75.54221536
388.0,VILLA CARLOTA_0540,6.220279937000001,-75.57456884
389.0,VILLA CARLOTA_0550,6.219048142999999,-75.57088987
390.0,VILLA DEL SOCORRO_1980,6.294930787999999,-75.55472118
391.0,VILLA DEL SOCORRO_3360,6.294917168,-75.55113378
393.0,VILLA GUADALUPE_2270,6.287407009,-75.55169406
394.0,VILLA HERMOSA_0270,6.2588634060000015,-75.54842175
395.0,VILLA LILINA_0400,6.233514189,-75.53292606
396.0,VILLA NIZA_1970,6.296238462000001,-75.55766204
397.0,VILLA NUEVA_0081,6.252206427000001,-75.56169552
398.0,VILLA NUEVA_0082,6.254107942,-75.56467475
399.0,VILLA TUYBAY - LA SIERRA_0410,6.235535562000001,-75.52904858
400.0,ZONA INDUSTRIAL ACIC_2920,6.149778433,-75.62495388
401.0,ZONA INDUSTRIAL No 1_2980,6.172319152999999,-75.60318620000002
402.0,ZONA RURAL_3040,6.1883234929999995,-75.60515731
403.0,MUNICIPIOS DEL SURESTE_5505,6.175456,-75.42761899999998
